IdEmpresa,Año,IdMes,Energía Facturada (MWh),temperatura,precipitacion,PIB_mensual_interpolado,COSTO_CANASTA,INGRESO_FAMILIAR_MENSUAL
17,2012,10,6807.726425,15.19,92.05,22960498.89,595.44,545.07
17,2012,11,7994.73776,15.67,82.25,23124667.16,596.42,545.07
17,2012,11,7994.73776,15.67,86.85,23124667.16,596.42,545.07
17,2012,12,8630.07552,15.6,59.28,23327365.05,595.7,545.07
17,2012,12,8630.07552,15.6,72.68,23327365.05,595.7,545.07
17,2013,1,8012.71729,15.73,57.32,23530150.98,601.61,593.6
17,2013,1,8012.71729,15.73,118.46,23530150.98,601.61,593.6
17,2013,2,7684.61023,15.49,84.68,23689786.83,602.07,593.6
17,2013,2,7684.61023,15.49,143.91,23689786.83,602.07,593.6
17,2013,3,8346.09834,15.86,70.57,23820378.27,604.25,593.6
17,2013,3,8346.09834,15.86,131.09,23820378.27,604.25,593.6
17,2013,4,8211.3557,15.75,39.9,23991557.98,605.52,593.6
17,2013,4,8211.3557,15.75,62.33,23991557.98,605.52,593.6
17,2013,5,8310.86038,15.55,163.23,24208660.05,605.92,593.6
17,2013,5,8310.86038,15.55,135.83,24208660.05,605.92,593.6
17,2013,6,8542.46439,14.83,88.33,24442731.67,606.29,593.6
17,2013,6,8542.46439,14.83,105.12,24442731.67,606.29,593.6
17,2013,7,8528.99495,13.87,117.8,24619807.88,606.48,593.6
17,2013,7,8528.99495,13.87,103.48,24619807.88,606.48,593.6
17,2013,8,8775.64578,14.31,45.2,24707895.1,609.57,593.6
17,2013,8,8775.64578,14.31,65.17,24707895.1,609.57,593.6
17,2013,9,7546.801990000001,14.62,52.13,24725220.3,612.05,593.6
17,2013,9,7546.801990000001,14.62,55.82,24725220.3,612.05,593.6
17,2013,10,8645.65624,15.42,84.3,24715105.0,614.01,593.6
17,2013,10,8645.65624,15.42,104.49,24715105.0,614.01,593.6
17,2013,11,8555.14025,15.85,61.9,24712739.28,617.54,593.6
17,2013,11,8555.14025,15.85,59.86,24712739.28,617.54,593.6
17,2013,12,7181.86859,14.83,46.2,24730327.17,620.86,593.6
17,2013,12,7181.86859,14.83,61.02,24730327.17,620.86,593.6
17,2014,1,8503.75208,16.74,79.43,24775970.49,628.27,634.67
17,2014,1,8503.75208,16.74,114.18,24775970.49,628.27,634.67
17,2014,2,8253.46353,16.41,37.6,24855664.77,628.22,634.67
17,2014,2,8253.46353,16.41,96.49,24855664.77,628.22,634.67
17,2014,3,8381.12157,16.27,103.97,24959070.89,632.19,634.67
17,2014,3,8381.12157,16.27,166.13,24959070.89,632.19,634.67
17,2014,4,8680.97855,16.19,105.47,25109867.71,633.61,634.67
17,2014,4,8680.97855,16.19,136.41,25109867.71,633.61,634.67
17,2014,5,8478.85041,15.39,143.0,25284995.04,634.27,634.67
17,2014,5,8478.85041,15.39,166.25,25284995.04,634.27,634.67
17,2014,6,8843.648079999999,14.65,93.43,25451593.01,634.67,634.67
17,2014,6,8843.648079999999,14.65,96.7,25451593.01,634.67,634.67
17,2014,7,8517.36808,14.36,96.4,25547157.3,637.0,634.67
17,2014,7,8517.36808,14.36,80.82,25547157.3,637.0,634.67
17,2014,8,8935.36397,13.7,67.03,25547444.08,638.06,634.67
17,2014,8,8935.36397,13.7,69.5,25547444.08,638.06,634.67
17,2014,9,7857.573539999999,14.07,60.57,25509584.92,641.2,634.67
17,2014,9,7857.573539999999,14.07,70.82,25509584.92,641.2,634.67
17,2014,10,9071.00536,14.2,112.63,25516850.62,642.85,634.67
17,2014,10,9071.00536,14.2,99.85,25516850.62,642.85,634.67
17,2014,11,9065.05347,15.09,66.77,25615754.16,644.74,634.67
17,2014,11,9065.05347,15.09,62.62,25615754.16,644.74,634.67
17,2014,12,9119.91329,15.2,103.37,25706584.96,646.3,634.67
17,2014,12,9119.91329,15.2,69.59,25706584.96,646.3,634.67
17,2015,2,8333.323960000002,16.67,37.07,25402791.89,654.48,660.8
17,2015,2,8333.323960000002,16.67,104.53,25402791.89,654.48,660.8
17,2015,3,9162.9636,16.45,119.77,25106748.8,657.68,660.8
17,2015,3,9162.9636,16.45,183.32,25106748.8,657.68,660.8
